Date,TOTAL_COUNT
1997/9/1,2639
1997/10/1,2771
1997/11/1,2799
1997/12/1,3074
1998/1/1,3085
1998/2/1,2657
1998/3/1,2907
1998/4/1,2815
1998/5/1,2864
1998/6/1,2770
1998/7/1,3117
1998/8/1,3105
1998/9/1,2977
1998/10/1,3150
1998/11/1,3061
1998/12/1,3296
1999/1/1,3388
1999/2/1,3026
1999/3/1,3274
1999/4/1,3151
1999/5/1,3075
1999/6/1,2955
1999/7/1,3247
1999/8/1,3297
1999/9/1,3258
1999/10/1,3300
1999/11/1,3302
1999/12/1,3689
2000/1/1,3763
2000/2/1,3453
2000/3/1,3581
2000/4/1,3501
2000/5/1,3450
2000/6/1,3364
2000/7/1,3612
2000/8/1,3553
2000/9/1,3477
2000/10/1,3624
2000/11/1,3787
2000/12/1,4017
2001/1/1,4053
2001/2/1,3635
2001/3/1,3930
2001/4/1,3809
2001/5/1,3749
2001/6/1,3593
2001/7/1,3843
2001/8/1,3786
2001/9/1,3650
2001/10/1,3763
2001/11/1,3510
2001/12/1,3840
2002/1/1,3834
2002/2/1,3417
2002/3/1,3675
2002/4/1,3506
2002/5/1,3533
2002/6/1,3450
2002/7/1,3784
2002/8/1,3852
2002/9/1,3684
2002/10/1,3787
2002/11/1,4013
2002/12/1,4338
2003/1/1,4407
2003/2/1,3948
2003/3/1,4144
2003/4/1,3939
2003/5/1,3842
2003/6/1,3699
2003/7/1,4116
2003/8/1,4243
2003/9/1,4143
2003/10/1,4303
2003/11/1,4482
2003/12/1,4755
2004/1/1,4898
2004/2/1,4541
2004/3/1,4886
2004/4/1,4699
2004/5/1,4775
2004/6/1,4517
2004/7/1,4874
2004/8/1,4907
2004/9/1,4744
2004/10/1,4865
2004/11/1,4899
2004/12/1,5167
2005/1/1,5279
2005/2/1,4718
2005/3/1,5105
2005/4/1,4926
2005/5/1,5016
2005/6/1,4853
2005/7/1,5088
2005/8/1,5004
2005/9/1,4853
2005/10/1,4982
2005/11/1,4800
2005/12/1,5211
2006/1/1,5255
2006/2/1,4688
2006/3/1,5024
2006/4/1,4801
2006/5/1,4673
2006/6/1,4576
2006/7/1,5155
2006/8/1,5067
2006/9/1,4955
2006/10/1,4794
2006/11/1,4678
2006/12/1,5053
2007/1/1,5008
2007/2/1,4405
2007/3/1,4799
2007/4/1,4557
2007/5/1,4593
2007/6/1,4443
2007/7/1,4854
2007/8/1,4723
2007/9/1,4632
2007/10/1,4586
2007/11/1,4568
2007/12/1,5004
2008/1/1,5032
2008/2/1,4621
2008/3/1,4878
2008/4/1,4602
2008/5/1,4652
2008/6/1,4549
2008/7/1,5051
2008/8/1,4973
2008/9/1,4745
2008/10/1,4941
2008/11/1,4879
2008/12/1,5213
2009/1/1,5266
2009/2/1,4533
2009/3/1,4966
2009/4/1,4584
2009/5/1,4632
2009/6/1,4511
2009/7/1,5112
2009/8/1,5083
2009/9/1,4843
2009/10/1,5047
2009/11/1,4887
2009/12/1,5256
2010/1/1,5422
2010/2/1,4664
2010/3/1,5070
2010/4/1,4866
2010/5/1,4758
2010/6/1,4637
2010/7/1,5244
2010/8/1,5214
2010/9/1,4866
2010/10/1,5010
2010/11/1,4880
2010/12/1,5392
2011/1/1,5525
2011/2/1,4897
2011/3/1,5248
2011/4/1,5078
2011/5/1,4940
2011/6/1,4107
2011/7/1,5412
2011/8/1,5309
2011/9/1,5151
2011/10/1,5383
2011/11/1,4888
2011/12/1,5409
2012/1/1,5581
2012/2/1,4857
2012/3/1,5167
2012/4/1,4984
2012/5/1,4564
2012/6/1,4639
2012/7/1,5417
2012/8/1,5170
2012/9/1,4970
2012/10/1,5094
2012/11/1,4759
2012/12/1,5434
2013/1/1,5429
2013/2/1,4581
2013/3/1,5051
2013/4/1,5032
2013/5/1,4629
2013/6/1,4670
2013/7/1,5503
2013/8/1,5254
2013/9/1,5077
2013/10/1,5200
2013/11/1,4862
2013/12/1,5705
2014/1/1,5746
2014/2/1,4785
2014/3/1,5158
2014/4/1,5088
2014/5/1,4805
2014/6/1,4841
2014/7/1,5656
2014/8/1,5397
2014/9/1,5126
2014/10/1,5239
2014/11/1,4904
2014/12/1,5852
2015/1/1,5984
2015/2/1,4963
2015/3/1,5337
2015/4/1,5169
2015/5/1,4850
2015/6/1,4870
2015/7/1,5861
2015/8/1,5532
2015/9/1,5226
2015/10/1,5498
2015/11/1,5282
2015/12/1,6392
2016/1/1,6579
2016/2/1,5600
2016/3/1,5848
2016/4/1,5766
2016/5/1,5354
2016/6/1,5436
2016/7/1,6567
2016/8/1,6125
2016/9/1,6003
2016/10/1,6243
2016/11/1,5930
2016/12/1,7056
2017/1/1,7273
2017/2/1,5997
2017/3/1,6337
2017/4/1,6257
2017/5/1,5648
2017/6/1,5731
2017/7/1,6730
2017/8/1,6274
2017/9/1,6016
2017/10/1,6363
2017/11/1,6117
2017/12/1,7226
2018/1/1,7376
2018/2/1,6089
2018/3/1,6425
2018/4/1,6198
2018/5/1,5757
2018/6/1,5853
2018/7/1,6907
2018/8/1,6401
2018/9/1,6181
2018/10/1,6543
2018/11/1,6522
2018/12/1,7485
2019/1/1,7649
2019/2/1,6251
2019/3/1,6689
2019/4/1,6357
2019/5/1,5809
2019/6/1,5885
2019/7/1,6949
2019/8/1,6477
2019/9/1,6267
2019/10/1,6510
2019/11/1,6340
2019/12/1,7452
2020/1/1,7625
2020/2/1,6205
2020/3/1,4618
2020/4/1,342
2020/5/1,207
2020/6/1,263
2020/7/1,380
2020/8/1,451
2020/9/1,457
2020/10/1,461
2020/11/1,488
2020/12/1,546
2021/1/1,464
2021/2/1,413
2021/3/1,456
2021/4/1,1068
2021/5/1,1944
2021/6/1,1533
2021/7/1,1384
2021/8/1,501
2021/9/1,394
2021/10/1,458
2021/11/1,491
2021/12/1,554
2022/1/1,547
2022/2/1,604
2022/3/1,863
2022/4/1,1463
2022/5/1,1841
2022/6/1,2293
2022/7/1,3689
2022/8/1,3710
2022/9/1,3693
2022/10/1,3929
2022/11/1,4593
2022/12/1,5371
2023/1/1,5384
2023/2/1,4460
2023/3/1,5083
2023/4/1,5337
2023/5/1,5161
2023/6/1,5274
2023/7/1,5875
