"Visitor arrival totals (Monthly)","","","",""
"","Actual Counts","Seasonally Adjusted","Trend","Counts Derived from a Sample"
"1921M04",1269,"..","..",1269
"1921M05",1102,"..","..",1102
"1921M06",563,"..","..",563
"1921M07",530,"..","..",530
"1921M08",635,"..","..",635
"1921M09",643,"..","..",643
"1921M10",911,"..","..",911
"1921M11",949,"..","..",949
"1921M12",1923,"..","..",1923
"1922M01",1589,"..","..",1589
"1922M02",1257,"..","..",1257
"1922M03",955,"..","..",955
"1922M04",772,"..","..",772
"1922M05",705,"..","..",705
"1922M06",487,"..","..",487
"1922M07",393,"..","..",393
"1922M08",591,"..","..",591
"1922M09",581,"..","..",581
"1922M10",854,"..","..",854
"1922M11",561,"..","..",561
"1922M12",1277,"..","..",1277
"1923M01",1880,"..","..",1880
"1923M02",1231,"..","..",1231
"1923M03",921,"..","..",921
"1923M04",636,"..","..",636
"1923M05",695,"..","..",695
"1923M06",596,"..","..",596
"1923M07",618,"..","..",618
"1923M08",576,"..","..",576
"1923M09",539,"..","..",539
"1923M10",1083,"..","..",1083
"1923M11",882,"..","..",882
"1923M12",1961,"..","..",1961
"1924M01",1359,"..","..",1359
"1924M02",1315,"..","..",1315
"1924M03",957,"..","..",957
"1924M04",891,"..","..",891
"1924M05",594,"..","..",594
"1924M06",492,"..","..",492
"1924M07",478,"..","..",478
"1924M08",473,"..","..",473
"1924M09",687,"..","..",687
"1924M10",949,"..","..",949
"1924M11",1130,"..","..",1130
"1924M12",2000,"..","..",2000
"1925M01",1190,"..","..",1190
"1925M02",1342,"..","..",1342
"1925M03",1086,"..","..",1086
"1925M04",844,"..","..",844
"1925M05",620,"..","..",620
"1925M06",596,"..","..",596
"1925M07",497,"..","..",497
"1925M08",796,"..","..",796
"1925M09",761,"..","..",761
"1925M10",1059,"..","..",1059
"1925M11",1225,"..","..",1225
"1925M12",2030,"..","..",2030
"1926M01",1903,"..","..",1903
"1926M02",1549,"..","..",1549
"1926M03",1502,"..","..",1502
"1926M04",855,"..","..",855
"1926M05",689,"..","..",689
"1926M06",622,"..","..",622
"1926M07",508,"..","..",508
"1926M08",936,"..","..",936
"1926M09",786,"..","..",786
"1926M10",851,"..","..",851
"1926M11",1280,"..","..",1280
"1926M12",1891,"..","..",1891
"1927M01",2026,"..","..",2026
"1927M02",1679,"..","..",1679
"1927M03",1316,"..","..",1316
"1927M04",763,"..","..",763
"1927M05",656,"..","..",656
"1927M06",476,"..","..",476
"1927M07",483,"..","..",483
"1927M08",658,"..","..",658
"1927M09",628,"..","..",628
"1927M10",1044,"..","..",1044
"1927M11",1223,"..","..",1223
"1927M12",1895,"..","..",1895
"1928M01",2104,"..","..",2104
"1928M02",1479,"..","..",1479
"1928M03",1028,"..","..",1028
"1928M04",650,"..","..",650
"1928M05",760,"..","..",760
"1928M06",489,"..","..",489
"1928M07",733,"..","..",733
"1928M08",889,"..","..",889
"1928M09",793,"..","..",793
"1928M10",1099,"..","..",1099
"1928M11",1119,"..","..",1119
"1928M12",2445,"..","..",2445
"1929M01",1820,"..","..",1820
"1929M02",1509,"..","..",1509
"1929M03",993,"..","..",993
"1929M04",787,"..","..",787
"1929M05",621,"..","..",621
