Date,Actual_Counts
1980-01-01,48224
1980-02-01,51353
1980-03-01,46784
1980-04-01,31284
1980-05-01,26681
1980-06-01,22817
1980-07-01,26944
1980-08-01,32902
1980-09-01,25567
1980-10-01,37113
1980-11-01,44788
1980-12-01,70706
1981-01-01,49699
1981-02-01,48783
1981-03-01,46172
1981-04-01,33932
1981-05-01,29105
1981-06-01,24159
1981-07-01,29089
1981-08-01,33134
1981-09-01,29011
1981-10-01,39303
1981-11-01,44924
1981-12-01,70726
1982-01-01,50300
1982-02-01,46463
1982-03-01,42435
1982-04-01,37339
1982-05-01,29408
1982-06-01,24699
1982-07-01,30412
1982-08-01,35463
1982-09-01,30226
1982-10-01,38294
1982-11-01,44954
1982-12-01,71733
1983-01-01,50086
1983-02-01,48477
1983-03-01,46567
1983-04-01,35892
1983-05-01,29343
1983-06-01,26708
1983-07-01,34600
1983-08-01,36401
1983-09-01,33776
1983-10-01,42426
1983-11-01,47551
1983-12-01,76638
1984-01-01,50805
1984-02-01,52441
1984-03-01,51860
1984-04-01,45661
1984-05-01,34516
1984-06-01,31611
1984-07-01,35560
1984-08-01,39301
1984-09-01,37164
1984-10-01,47088
1984-11-01,56558
1984-12-01,85046
1985-01-01,57417
1985-02-01,63805
1985-03-01,63268
1985-04-01,52035
1985-05-01,40792
1985-06-01,39359
1985-07-01,39396
1985-08-01,49867
1985-09-01,42707
1985-10-01,54258
1985-11-01,71207
1985-12-01,95447
1986-01-01,67178
1986-02-01,69783
1986-03-01,67044
1986-04-01,57089
1986-05-01,41080
1986-06-01,39461
1986-07-01,43041
1986-08-01,50437
1986-09-01,48836
1986-10-01,60612
1986-11-01,79483
1986-12-01,109380
1987-01-01,77730
1987-02-01,85908
1987-03-01,70152
1987-04-01,62820
1987-05-01,48180
1987-06-01,47103
1987-07-01,54048
1987-08-01,53600
1987-09-01,60240
1987-10-01,76776
1987-11-01,92300
1987-12-01,115456
1988-01-01,83545
1988-02-01,85689
1988-03-01,75735
1988-04-01,60824
1988-05-01,49761
1988-06-01,51344
1988-07-01,60480
1988-08-01,58320
1988-09-01,64920
1988-10-01,76208
1988-11-01,82082
1988-12-01,115984
1989-01-01,79794
1989-02-01,89451
1989-03-01,78354
1989-04-01,65079
1989-05-01,47862
1989-06-01,55107
1989-07-01,63010
1989-08-01,64889
1989-09-01,69817
1989-10-01,74272
1989-11-01,87350
1989-12-01,126093
1990-01-01,98232
1990-02-01,93600
1990-03-01,88120
1990-04-01,78138
1990-05-01,55242
1990-06-01,57438
1990-07-01,68288
1990-08-01,69432
1990-09-01,68030
1990-10-01,80355
1990-11-01,92631
1990-12-01,126504
1991-01-01,88584
1991-02-01,94010
1991-03-01,88410
1991-04-01,62645
1991-05-01,55230
1991-06-01,58256
1991-07-01,69860
1991-08-01,69399
1991-09-01,70587
1991-10-01,81389
1991-11-01,98956
1991-12-01,126144
1992-01-01,92612
1992-02-01,115790
1992-03-01,98846
1992-04-01,79520
1992-05-01,61880
1992-06-01,58180
1992-07-01,80201
1992-08-01,70037
1992-09-01,70704
1992-10-01,83699
1992-11-01,103356
1992-12-01,140856
1993-01-01,112104
1993-02-01,118848
1993-03-01,107172
1993-04-01,88308
1993-05-01,67639
1993-06-01,62361
1993-07-01,79365
1993-08-01,74580
1993-09-01,78792
1993-10-01,99780
1993-11-01,116857
1993-12-01,151172
1994-01-01,124446
1994-02-01,140616
1994-03-01,129402
1994-04-01,96960
1994-05-01,73296
1994-06-01,69990
1994-07-01,93401
1994-08-01,88296
1994-09-01,92183
1994-10-01,114632
1994-11-01,131628
1994-12-01,167715
1995-01-01,137792
1995-02-01,144540
1995-03-01,132570
1995-04-01,110097
1995-05-01,80179
1995-06-01,73931
1995-07-01,102908
1995-08-01,92582
1995-09-01,95115
1995-10-01,116850
1995-11-01,135015
1995-12-01,187216
1996-01-01,145673
1996-02-01,160848
1996-03-01,141424
1996-04-01,119220
1996-05-01,86590
1996-06-01,87815
1996-07-01,105712
1996-08-01,101056
1996-09-01,100944
1996-10-01,121754
1996-11-01,149226
1996-12-01,208458
1997-01-01,155097
1997-02-01,166175
1997-03-01,149294
1997-04-01,112302
1997-05-01,87836
1997-06-01,83482
1997-07-01,105910
1997-08-01,99216
1997-09-01,98746
1997-10-01,114979
1997-11-01,140358
1997-12-01,183830
1998-01-01,149175
1998-02-01,158391
1998-03-01,130373
1998-04-01,115704
1998-05-01,81383
1998-06-01,80269
1998-07-01,106540
1998-08-01,93641
1998-09-01,102642
1998-10-01,121796
1998-11-01,149563
1998-12-01,195262
1999-01-01,156378
1999-02-01,169078
1999-03-01,145303
1999-04-01,121548
1999-05-01,89774
1999-06-01,87708
1999-07-01,111675
1999-08-01,104080
1999-09-01,114310
1999-10-01,132917
1999-11-01,169317
1999-12-01,205390
2000-01-01,169404
2000-02-01,192856
2000-03-01,152910
2000-04-01,143681
2000-05-01,99068
2000-06-01,97516
2000-07-01,130571
2000-08-01,117365
2000-09-01,113750
2000-10-01,146610
2000-11-01,182324
2000-12-01,243023
2001-01-01,197765
2001-02-01,199792
2001-03-01,176875
2001-04-01,153186
2001-05-01,110936
2001-06-01,112279
2001-07-01,144380
2001-08-01,136864
2001-09-01,131194
2001-10-01,142095
2001-11-01,164636
2001-12-01,239807
2002-01-01,204717
2002-02-01,212233
2002-03-01,202504
2002-04-01,143877
2002-05-01,118201
2002-06-01,115194
2002-07-01,152156
2002-08-01,133272
2002-09-01,136085
2002-10-01,162327
2002-11-01,198705
2002-12-01,265691
2003-01-01,220861
2003-02-01,222201
2003-03-01,193853
2003-04-01,150416
2003-05-01,102745
2003-06-01,111982
2003-07-01,145564
2003-08-01,135351
2003-09-01,148420
2003-10-01,165821
2003-11-01,211735
2003-12-01,297280
2004-01-01,244333
2004-02-01,238032
2004-03-01,211748
2004-04-01,184379
2004-05-01,132715
2004-06-01,134813
2004-07-01,173328
2004-08-01,152104
2004-09-01,161182
2004-10-01,181371
2004-11-01,220610
2004-12-01,313057
2005-01-01,249933
2005-02-01,250070
2005-03-01,234101
2005-04-01,174757
2005-05-01,135708
2005-06-01,157547
2005-07-01,168422
2005-08-01,150656
2005-09-01,163785
2005-10-01,176216
2005-11-01,214694
2005-12-01,307061
2006-01-01,250554
2006-02-01,252431
2006-03-01,226966
2006-04-01,191648
2006-05-01,135279
2006-06-01,139891
2006-07-01,166970
2006-08-01,155699
2006-09-01,166531
2006-10-01,186639
2006-11-01,229913
2006-12-01,319040
2007-01-01,246748
2007-02-01,267569
2007-03-01,239203
2007-04-01,193229
2007-05-01,140755
2007-06-01,145498
2007-07-01,173046
2007-08-01,164775
2007-09-01,168838
2007-10-01,179947
2007-11-01,228813
2007-12-01,317259
2008-01-01,253515
2008-02-01,280513
2008-03-01,250806
2008-04-01,179388
2008-05-01,140483
2008-06-01,142413
2008-07-01,175738
2008-08-01,162485
2008-09-01,157704
2008-10-01,173938
2008-11-01,219313
2008-12-01,322207
2009-01-01,244030
2009-02-01,256559
2009-03-01,226461
2009-04-01,195883
2009-05-01,141916
2009-06-01,135162
2009-07-01,176198
2009-08-01,161100
2009-09-01,172425
2009-10-01,187372
2009-11-01,219939
2009-12-01,341337
2010-01-01,256652
2010-02-01,267855
2010-03-01,243263
2010-04-01,187962
2010-05-01,141336
2010-06-01,145825
2010-07-01,182904
2010-08-01,168081
2010-09-01,174157
2010-10-01,184898
2010-11-01,226455
2010-12-01,345656
2011-01-01,265553
2011-02-01,268259
2011-03-01,215553
2011-04-01,197777
2011-05-01,140741
2011-06-01,131269
2011-07-01,176084
2011-08-01,175909
2011-09-01,219940
2011-10-01,215902
2011-11-01,230292
2011-12-01,364165
2012-01-01,266839
2012-02-01,259083
2012-03-01,239929
2012-04-01,195668
2012-05-01,140841
2012-06-01,151074
2012-07-01,173539
2012-08-01,178298
2012-09-01,179069
2012-10-01,184200
2012-11-01,232119
2012-12-01,363959
2013-01-01,260637
2013-02-01,281233
2013-03-01,270740
2013-04-01,200583
2013-05-01,153034
2013-06-01,159485
2013-07-01,183718
2013-08-01,189284
2013-09-01,191056
2013-10-01,194973
2013-11-01,251060
2013-12-01,381892
2014-01-01,292446
2014-02-01,301165
2014-03-01,253561
2014-04-01,224194
2014-05-01,161355
2014-06-01,162122
2014-07-01,196856
2014-08-01,188849
2014-09-01,193329
2014-10-01,210597
2014-11-01,270408
2014-12-01,402518
2015-01-01,302432
2015-02-01,343457
2015-03-01,291784
2015-04-01,237966
2015-05-01,176697
2015-06-01,176961
2015-07-01,207984
2015-08-01,202879
2015-09-01,216984
2015-10-01,229379
2015-11-01,300521
2015-12-01,444883
2016-01-01,343446
2016-02-01,373376
2016-03-01,344387
2016-04-01,256685
2016-05-01,193643
2016-06-01,196223
2016-07-01,237872
2016-08-01,221181
2016-09-01,245089
2016-10-01,260246
2016-11-01,333598
2016-12-01,494193
2017-01-01,381068
2017-02-01,380034
2017-03-01,343799
2017-04-01,311866
2017-05-01,209170
2017-06-01,230088
2017-07-01,246945
2017-08-01,233991
2017-09-01,252746
2017-10-01,270515
2017-11-01,360136
2017-12-01,513349
2018-01-01,379228
2018-02-01,423456
2018-03-01,388327
2018-04-01,283910
2018-05-01,222079
2018-06-01,212245
2018-07-01,250523
2018-08-01,246682
2018-09-01,258155
2018-10-01,283568
2018-11-01,385789
2018-12-01,529255
2019-01-01,399346
2019-02-01,417934
2019-03-01,378270
2019-04-01,307409
2019-05-01,219331
2019-06-01,213536
2019-07-01,255585
2019-08-01,251131
2019-09-01,261770
2019-10-01,283834
2019-11-01,372108
2019-12-01,528219
2020-01-01,410778
2020-02-01,372745
2020-03-01,175521
2020-04-01,1721
2020-05-01,2189
2020-06-01,3521
2020-07-01,3481
2020-08-01,4782
2020-09-01,5519
2020-10-01,5073
2020-11-01,5116
2020-12-01,5904
2021-01-01,5448
2021-02-01,5297
2021-03-01,4639
2021-04-01,31931
2021-05-01,57605
2021-06-01,51590
2021-07-01,30209
2021-08-01,2676
2021-09-01,2310
2021-10-01,3687
2021-11-01,5309
2021-12-01,6161
2022-01-01,4033
2022-02-01,5235
2022-03-01,28624
2022-04-01,54303
2022-05-01,72755
2022-06-01,94648
2022-07-01,134175
2022-08-01,129753
2022-09-01,151270
2022-10-01,161636
2022-11-01,232684
2022-12-01,364716
2023-01-01,268298
2023-02-01,268704
2023-03-01,266131
2023-04-01,221271
2023-05-01,160335
2023-06-01,178426
2023-07-01,213806
