"Visitor arrival totals (Qrtly-Mar/Jun/Sep/Dec)",""
"","Actual Counts"
"1921Q2",2934
"1921Q3",1808
"1921Q4",3783
"1922Q1",3801
"1922Q2",1964
"1922Q3",1565
"1922Q4",2692
"1923Q1",4032
"1923Q2",1927
"1923Q3",1733
"1923Q4",3926
"1924Q1",3631
"1924Q2",1977
"1924Q3",1638
"1924Q4",4079
"1925Q1",3618
"1925Q2",2060
"1925Q3",2054
"1925Q4",4314
"1926Q1",4954
"1926Q2",2166
"1926Q3",2230
"1926Q4",4022
"1927Q1",5021
"1927Q2",1895
"1927Q3",1769
"1927Q4",4162
"1928Q1",4611
"1928Q2",1899
"1928Q3",2415
"1928Q4",4663
"1929Q1",4322
"1929Q2",2088
"1929Q3",1863
"1929Q4",4697
"1930Q1",4028
"1930Q2",2067
"1930Q3",1614
"1930Q4",3494
"1931Q1",2974
"1931Q2",1190
"1931Q3",1053
"1931Q4",2398
"1932Q1",2321
"1932Q2",1198
"1932Q3",983
"1932Q4",2781
"1933Q1",3068
"1933Q2",1438
"1933Q3",1286
"1933Q4",3163
"1934Q1",3912
"1934Q2",1585
"1934Q3",1620
"1934Q4",3763
"1935Q1",4205
"1935Q2",1793
"1935Q3",1723
"1935Q4",4116
"1936Q1",5174
"1936Q2",1929
"1936Q3",2210
"1936Q4",5077
"1937Q1",5570
"1937Q2",2386
"1937Q3",2449
"1937Q4",5626
"1938Q1",6186
"1938Q2",2604
"1938Q3",2365
"1938Q4",5269
"1939Q1",6585
"1939Q2",2886
"1939Q3",2223
"1939Q4",2457
"1940Q1",2374
"1940Q2",1467
"1940Q3",1587
"1940Q4",1964
"1941Q1",1579
"1941Q2",1013
"1941Q3",748
"1941Q4",1122
"1942Q1",439
"1942Q2",262
"1942Q3",264
"1942Q4",369
"1943Q1",490
"1943Q2",351
"1943Q3",253
"1943Q4",582
"1944Q1",642
"1944Q2",532
"1944Q3",562
"1944Q4",1717
"1945Q1",829
"1945Q2",714
"1945Q3",827
"1945Q4",1280
"1946Q1",2439
"1946Q2",1717
"1946Q3",1645
"1946Q4",2871
"1947Q1",2960
"1947Q2",2117
"1947Q3",1868
"1947Q4",3585
"1948Q1",3907
"1948Q2",2012
"1948Q3",1724
"1948Q4",3309
"1949Q1",4674
"1949Q2",2323
"1949Q3",2163
"1949Q4",4399
"1950Q1",5831
"1950Q2",2785
"1950Q3",2446
"1950Q4",5454
"1951Q1",5749
"1951Q2",2379
"1951Q3",2689
"1951Q4",5656
"1952Q1",6426
"1952Q2",3398
"1952Q3",3004
"1952Q4",5787
"1953Q1",6476
"1953Q2",3333
"1953Q3",3065
"1953Q4",5845
"1954Q1",7263
"1954Q2",3569
"1954Q3",3170
"1954Q4",6909
"1955Q1",8298
"1955Q2",3882
"1955Q3",3790
"1955Q4",7588
"1956Q1",8419
"1956Q2",4630
"1956Q3",4243
"1956Q4",9621
"1957Q1",9485
"1957Q2",4663
"1957Q3",4969
"1957Q4",9945
"1958Q1",10195
"1958Q2",5302
"1958Q3",5236
"1958Q4",10047
"1959Q1",10588
"1959Q2",5140
"1959Q3",6233
"1959Q4",12244
"1960Q1",12940
"1960Q2",5804
"1960Q3",6417
"1960Q4",13973
"1961Q1",14730
"1961Q2",7391
"1961Q3",8976
"1961Q4",17932
"1962Q1",17389
"1962Q2",8623
"1962Q3",9618
"1962Q4",21295
"1963Q1",19349
"1963Q2",9712
"1963Q3",11854
"1963Q4",24605
"1964Q1",23533
"1964Q2",11563
"1964Q3",12770
"1964Q4",28063
"1965Q1",29639
"1965Q2",13900
"1965Q3",16789
"1965Q4",33914
"1966Q1",33413
"1966Q2",17747
"1966Q3",20068
"1966Q4",36867
"1967Q1",38189
"1967Q2",21158
"1967Q3",22762
"1967Q4",37375
"1968Q1",41893
"1968Q2",21318
"1968Q3",22930
"1968Q4",43913
"1969Q1",43741
"1969Q2",25151
"1969Q3",27162
"1969Q4",52055
"1970Q1",50623
"1970Q2",30897
"1970Q3",33718
"1970Q4",62342
"1971Q1",63912
"1971Q2",40673
"1971Q3",39677
"1971Q4",75227
"1972Q1",72003
"1972Q2",41450
"1972Q3",44471
"1972Q4",84538
"1973Q1",84185
"1973Q2",53666
"1973Q3",57402
"1973Q4",102328
"1974Q1",104848
"1974Q2",62231
"1974Q3",63627
"1974Q4",118236
"1975Q1",117100
"1975Q2",66134
"1975Q3",65736
"1975Q4",128564
"1976Q1",124152
"1976Q2",64658
"1976Q3",66480
"1976Q4",128740
"1977Q1",120344
"1977Q2",68112
"1977Q3",71448
"1977Q4",129600
"1978Q1",121780
"1978Q2",67344
"1978Q3",72932
"1978Q4",144920
"1979Q1",133548
"1979Q2",73356
"1979Q3",78206
"1979Q4",147272
"1980Q1",146361
"1980Q2",80782
"1980Q3",85413
"1980Q4",152607
"1981Q1",144654
"1981Q2",87196
"1981Q3",91234
"1981Q4",154953
"1982Q1",139198
"1982Q2",91446
"1982Q3",96101
"1982Q4",154981
"1983Q1",145130
"1983Q2",91943
"1983Q3",104777
"1983Q4",166615
"1984Q1",155106
"1984Q2",111788
"1984Q3",112025
"1984Q4",188692
"1985Q1",184490
"1985Q2",132186
"1985Q3",131970
"1985Q4",220912
"1986Q1",204005
"1986Q2",137630
"1986Q3",142314
"1986Q4",249475
"1987Q1",233790
"1987Q2",158103
"1987Q3",167888
"1987Q4",284532
"1988Q1",244969
"1988Q2",161929
"1988Q3",183720
"1988Q4",274274
"1989Q1",247599
"1989Q2",168048
"1989Q3",197716
"1989Q4",287715
"1990Q1",279952
"1990Q2",190818
"1990Q3",205750
"1990Q4",299490
"1991Q1",271004
"1991Q2",176131
"1991Q3",209846
"1991Q4",306489
"1992Q1",307248
"1992Q2",199580
"1992Q3",220942
"1992Q4",327911
"1993Q1",338124
"1993Q2",218308
"1993Q3",232737
"1993Q4",367809
"1994Q1",394464
"1994Q2",240246
"1994Q3",273880
"1994Q4",413975
"1995Q1",414902
"1995Q2",264207
"1995Q3",290605
"1995Q4",439081
"1996Q1",447945
"1996Q2",293625
"1996Q3",307712
"1996Q4",479438
"1997Q1",470566
"1997Q2",283620
"1997Q3",303872
"1997Q4",439167
"1998Q1",437939
"1998Q2",277356
"1998Q3",302823
"1998Q4",466621
"1999Q1",470759
"1999Q2",299030
"1999Q3",330065
"1999Q4",507624
"2000Q1",515170
"2000Q2",340265
"2000Q3",361686
"2000Q4",571957
"2001Q1",574432
"2001Q2",376401
"2001Q3",412438
"2001Q4",546538
"2002Q1",619454
"2002Q2",377272
"2002Q3",421513
"2002Q4",626723
"2003Q1",636915
"2003Q2",365143
"2003Q3",429335
"2003Q4",674836
"2004Q1",694113
"2004Q2",451907
"2004Q3",486614
"2004Q4",715038
"2005Q1",734104
"2005Q2",468012
"2005Q3",482863
"2005Q4",697971
"2006Q1",729951
"2006Q2",466818
"2006Q3",489200
"2006Q4",735592
"2007Q1",753520
"2007Q2",479482
"2007Q3",506659
"2007Q4",726019
"2008Q1",784834
"2008Q2",462284
"2008Q3",495927
"2008Q4",715458
"2009Q1",727050
"2009Q2",472961
"2009Q3",509723
"2009Q4",748648
"2010Q1",767770
"2010Q2",475123
"2010Q3",525142
"2010Q4",757009
"2011Q1",749365
"2011Q2",469787
"2011Q3",571933
"2011Q4",810359
"2012Q1",765851
"2012Q2",487583
"2012Q3",530906
"2012Q4",780278
"2013Q1",812610
"2013Q2",513102
"2013Q3",564058
"2013Q4",827925
"2014Q1",847172
"2014Q2",547671
"2014Q3",579034
"2014Q4",883523
"2015Q1",937673
"2015Q2",591624
"2015Q3",627847
"2015Q4",974783
"2016Q1",1061209
"2016Q2",646551
"2016Q3",704142
"2016Q4",1088037
"2017Q1",1104901
"2017Q2",751124
"2017Q3",733682
"2017Q4",1144000
"2018Q1",1191011
"2018Q2",718234
"2018Q3",755360
"2018Q4",1198612
"2019Q1",1195550
"2019Q2",740276
"2019Q3",768486
"2019Q4",1184161
"2020Q1",959044
"2020Q2",7431
"2020Q3",13782
"2020Q4",16093
"2021Q1",15384
"2021Q2",141126
"2021Q3",35195
"2021Q4",15157
"2022Q1",37892
"2022Q2",221706
"2022Q3",415198
"2022Q4",759036
"2023Q1",803133
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Actual series are counts derived from a sample of records from April 1975 to August 1997, and hence may contain sample error for these periods."
"Sampled series are derived from a sample of records and hence may contain sample error. Caution should be used when using data with low cell values."
"Seasonally adjusted and trend series are revised monthly back to 1996. Due to a change in seasonality, earlier periods are not revised. As a result, there may be minor irregularities where 1995 and 1996 meet."
"Visitor arrivals are overseas residents arriving in New Zealand for a stay of less than 12 months."
"For arrival series, the country of residence is the country where a person last lived for 12 months or more (country of last permanent residence)."
"The COVID-19 pandemic has interrupted historical seasonal patterns and months from April 2020 reflect observed actual values without seasonal, trading day, or holiday adjustment."
"We have not been publishing trend series from April 2020 to ensure COVID-19 effects do not influence the seasonal pattern."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"ITM002AA"
""
"Last updated:"
"12 July 2023 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
